,titles,genre,rating,year,director
87,Back to the Future,"['Adventure', 'Comedy', 'Sci-Fi']",8.5,1985,Robert Zemeckis
88,Shutter Island,"['Mystery', 'Thriller']",8.2,2010,Martin Scorsese
89,Indiana Jones and the Raiders of the Lost Ark,"['Action', 'Adventure']",8.4,1981,Steven Spielberg
90,Taxi Driver,"['Crime', 'Drama']",8.2,1976,Martin Scorsese
91,American Beauty,['Drama'],8.4,1999,Sam Mendes
92,The Lord of the Rings: The Return of the King,"['Action', 'Adventure', 'Drama']",9.0,2003,Peter Jackson
93,The Prestige,"['Drama', 'Mystery', 'Sci-Fi']",8.5,2006,Christopher Nolan
94,One Flew Over the Cuckoo's Nest,['Drama'],8.7,1975,Milos Forman
95,The Matrix,"['Action', 'Sci-Fi']",8.7,1999,Lana Wachowski
96,Apocalypse Now,"['Drama', 'Mystery', 'War']",8.5,1979,Francis Ford Coppola
97,No Country for Old Men,"['Crime', 'Drama', 'Thriller']",8.2,2007,Ethan Coen
98,Alien,"['Horror', 'Sci-Fi']",8.5,1979,Ridley Scott
99,Léon: The Professional,"['Action', 'Crime', 'Drama']",8.5,1994,Luc Besson
100,Top Gun: Maverick,"['Action', 'Drama']",8.3,2022,Joseph Kosinski
101,The Godfather,"['Crime', 'Drama']",9.2,1972,Francis Ford Coppola
102,The Shawshank Redemption,['Drama'],9.3,1994,Frank Darabont
103,Interstellar,"['Adventure', 'Drama', 'Sci-Fi']",8.6,2014,Christopher Nolan
104,Pulp Fiction,"['Crime', 'Drama']",8.9,1994,Quentin Tarantino
105,The Lord of the Rings: The Fellowship of the Ring,"['Action', 'Adventure', 'Drama']",8.8,2001,Peter Jackson
106,Avengers: Endgame,"['Action', 'Adventure', 'Drama']",8.4,2019,Anthony Russo
107,Spider-Man: No Way Home,"['Action', 'Adventure', 'Fantasy']",8.2,2021,Jon Watts
108,The Wolf of Wall Street,"['Biography', 'Comedy', 'Crime']",8.2,2013,Martin Scorsese
109,The Dark Knight,"['Action', 'Crime', 'Drama']",9.0,2008,Christopher Nolan
110,Inception,"['Action', 'Adventure', 'Sci-Fi']",8.8,2010,Christopher Nolan
111,Joker,"['Crime', 'Drama', 'Thriller']",8.4,I) (,Todd Phillips
112,The Departed,"['Crime', 'Drama', 'Thriller']",8.5,2006,Martin Scorsese
113,Whiplash,"['Drama', 'Music']",8.5,2014,Damien Chazelle
114,Good Will Hunting,"['Drama', 'Romance']",8.3,1997,Gus Van Sant
115,Fight Club,['Drama'],8.8,1999,David Fincher
116,The Help,['Drama'],8.1,2011,Tate Taylor
117,Forrest Gump,"['Drama', 'Romance']",8.8,1994,Robert Zemeckis
118,Scarface,"['Crime', 'Drama']",8.3,1983,Brian De Palma
119,Parasite,"['Drama', 'Thriller']",8.5,2019,Bong Joon Ho
120,The Godfather Part II,"['Crime', 'Drama']",9.0,1974,Francis Ford Coppola
121,Schindler's List,"['Biography', 'Drama', 'History']",9.0,1993,Steven Spielberg
122,Inglourious Basterds,"['Adventure', 'Drama', 'War']",8.3,2009,Quentin Tarantino
123,12 Angry Men,"['Crime', 'Drama']",9.0,1957,Sidney Lumet
124,Django Unchained,"['Drama', 'Western']",8.4,2012,Quentin Tarantino
125,Heat,"['Action', 'Crime', 'Drama']",8.3,1995,Michael Mann
126,Gladiator,"['Action', 'Adventure', 'Drama']",8.5,2000,Ridley Scott
127,Eternal Sunshine of the Spotless Mind,"['Drama', 'Romance', 'Sci-Fi']",8.3,2004,Michel Gondry
128,Harry Potter and the Deathly Hallows: Part 2,"['Adventure', 'Family', 'Fantasy']",8.1,2011,David Yates
129,The Silence of the Lambs,"['Crime', 'Drama', 'Thriller']",8.6,1991,Jonathan Demme
130,Goodfellas,"['Biography', 'Crime', 'Drama']",8.7,1990,Martin Scorsese
131,Requiem for a Dream,['Drama'],8.3,2000,Darren Aronofsky
132,Prisoners,"['Crime', 'Drama', 'Mystery']",8.1,2013,Denis Villeneuve
133,The Green Mile,"['Crime', 'Drama', 'Fantasy']",8.6,1999,Frank Darabont
134,Se7en,"['Crime', 'Drama', 'Mystery']",8.6,1995,David Fincher
135,Gone Girl,"['Drama', 'Mystery', 'Thriller']",8.1,2014,David Fincher
136,Catch Me If You Can,"['Biography', 'Crime', 'Drama']",8.1,2002,Steven Spielberg
137,Back to the Future,"['Adventure', 'Comedy', 'Sci-Fi']",8.5,1985,Robert Zemeckis
